Popis,XPath,Povinnost,Původ,Verzování,Násobnost,Název fieldu indexu,Typ fieldu indexu,Child
Provenance a kontroly při ingestu,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:linkingAgentIdentifier/premis:linkingAgentIdentifierValue,povinné,generuje ARCLib,neverzuje se,1,premis_event_linking_agent_identifier_value,string,premis_event
Provenance a kontroly při ingestu,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:eventDetail,povinné,generuje ARCLib,neverzuje se,1,premis_event_detail,text,premis_event
Provenance a kontroly při ingestu,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:eventType,povinné,generuje ARCLib,neverzuje se,1,premis_event_type,lowercase,premis_event
Provenance a kontroly při ingestu,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:eventDateTime,povinné,generuje ARCLib,neverzuje se,1,premis_event_date_time,datetime,premis_event
Provenance a kontroly při ingestu,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:eventIdentifier,povinné,generuje ARCLib,neverzuje se,1,,,
Provenance a kontroly při ingestu,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:eventIdentifier/premis:eventIdentifierType,povinné,generuje ARCLib,neverzuje se,1,premis_event_identifier_type,lowercase,premis_event
Provenance a kontroly při ingestu,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:eventIdentifier/premis:eventIdentifierValue,povinné,generuje ARCLib,neverzuje se,1,premis_event_identifier_value,lowercase,premis_event
Provenance přebrané ze SIP,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent,nepovinné,generuje ARCLib,neverzuje se,N,,,arc_event
Provenance přebrané ze SIP,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:eventType,nepovinné,generuje ARCLib,neverzuje se,1,arc_event_type,lowercase,arc_event
Provenance přebrané ze SIP,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:agentName,nepovinné,generuje ARCLib,neverzuje se,1,arc_event_agent_name,lowercase,arc_event
Provenance přebrané ze SIP,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:linkingDeviceID,nepovinné,generuje ARCLib,neverzuje se,1,arc_event_linking_device_id,string,arc_event
Provenance přebrané ze SIP,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:scannerModelSerialNo,nepovinné,generuje ARCLib,neverzuje se,1,arc_event_scanner_model_serial_no,string,arc_event
Provenance přebrané ze SIP,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:scanningSoftwareName,nepovinné,generuje ARCLib,neverzuje se,1,arc_event_scanning_software_name,string,arc_event
Provenance přebrané ze SIP,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:eventDate,nepovinné,generuje ARCLib,neverzuje se,1,arc_event_date,datetime,arc_event
Provenance přebrané ze SIP,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:eventCount,nepovinné,generuje ARCLib,neverzuje se,1,arc_event_count,int,arc_event
Práva,/METS:mets/METS:amdSec/METS:rightsMD,nepovinné,přebírá se,verzuje se,1,,,
Další bibliografická metadata,/METS:mets/METS:amdSec/METS:sourceMD,nepovinné,přebírá se,verzuje se,1,,,
Informace o struktuře ARCLib AIP,/METS:mets/METS:fileSec,povinné,generuje ARCLib,verzuje se,1,,,
Informace o struktuře ARCLib AIP,/METS:mets/METS:structMap,povinné,generuje ARCLib,verzuje se,1,,,
