Description (DOC – this column is for documentation purpose only),Xpath (SYS – values of this column are parsed and used by the system),Data source (DOC),Multiplicity (SYS),Index field name (SYS),Element type (SYS),Index Parent (SYS),Label (CZ),Label (EN)
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:ImageCaptureInformation/ARCLib:ImageCaptureMetadata/ARCLib:imageProducer,SIP profile XSLT,1,img_metadata_image_producer,other,img_metadata,,
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:ImageCaptureInformation/ARCLib:ImageCaptureMetadata/ARCLib:scannerModelSerialNo,SIP profile XSLT,1,img_metadata_scanner_model_serial_no,other,img_metadata,,
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:ImageCaptureInformation/ARCLib:ImageCaptureMetadata/ARCLib:eventCount,SIP profile XSLT,1,img_metadata_arc_event_count,other,img_metadata,,
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:creatingApplications/ARCLib:creatingApplication,SIP profile XSLT,N,,,creating_application,,
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:creatingApplications/ARCLib:creatingApplication/ARCLib:creatingApplicationName,SIP profile XSLT,1,creating_application_creating_application_name,other,creating_application,,
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:creatingApplications/ARCLib:creatingApplication/ARCLib:creatingApplicationVersion,SIP profile XSLT,1,creating_application_creating_application_version,other,creating_application,,
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:creatingApplications/ARCLib:creatingApplication/ARCLib:dateCreatedByApplication,SIP profile XSLT,1,creating_application_date_created_by_application,date,creating_application,,
TechMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:creatingApplications/ARCLib:creatingApplication/ARCLib:eventCount,SIP profile XSLT,1,creating_application_event_count,other,creating_application,,
Events – generated,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event,system,N,,,premis_event,,
Events – generated,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:eventOutcomeInformation/premis:eventOutcome,system,1,premis_event_outcome,other,premis_event,,
Events – generated,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:linkingAgentIdentifier/premis:linkingAgentIdentifierType,system,1,premis_event_linking_agent_identifier_type,other,premis_event,,
Events – generated,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:linkingAgentIdentifier/premis:linkingAgentIdentifierValue,system,1,premis_event_linking_agent_identifier_value,other,premis_event,,
Events – generated,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:eventDetail,system,1,premis_event_detail,other,premis_event,,
Events – generated,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:eventType,system,1,premis_event_type,other,premis_event,,
Events – generated,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:eventDateTime,system,1,premis_event_date_time,datetime,premis_event,,
Events – generated,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:eventIdentifier/premis:eventIdentifierType,system,1,premis_event_identifier_type,other,premis_event,,
Events – generated,/METS:mets/METS:amdSec/METS:digiprovMD/METS:mdWrap[@MDTYPE='PREMIS']/METS:xmlData/premis:event/premis:eventIdentifier/premis:eventIdentifierValue,system,1,premis_event_identifier_value,other,premis_event,,
Events – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent,SIP profile XSLT,N,,,arc_event,,
Events – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:eventType,SIP profile XSLT,1,arc_event_type,other,arc_event,,
Events – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:agentName,SIP profile XSLT,1,arc_event_agent_name,other,arc_event,,
Events – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:scannerModelSerialNo,SIP profile XSLT,1,arc_event_scanner_model_serial_no,other,arc_event,,
Events – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:eventDate,SIP profile XSLT,1,arc_event_date,datetime,arc_event,,
Events – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:eventAgents/ARCLib:eventAgent/ARCLib:fileCount,SIP profile XSLT,1,arc_event_file_count,other,arc_event,,
Producer name,NOT_IN_XML,system,1,producer_name,other,,Jméno dodavatele,
Responsible person,NOT_IN_XML,system,1,user_name,other,,Jméno zodpovědné osoby,
AIP State,NOT_IN_XML,system,1,aip_state,other,,Stav AIP,
Latest version,NOT_IN_XML,system,1,latest,other,,Poslední verze,
Producer ID,NOT_IN_XML,system,1,producer_id,other,,ID dodavatele,
Latest data version,NOT_IN_XML,system,1,latest_data,other,,Poslední datová verze,
Debug mode,NOT_IN_XML,system,1,debug_mode,other,,Ladící režim,
